time,temp_ambient_sm2_01,temp_ambient_sm2_02,temp_ambient_sm2_03,temp_ambient_sm2_04,temp_ambient_sm2_05,temp_ambient_sm2_06,temp_ambient_sm2_07,temp_ambient_sm2_08,temp_ambient_sm2_09,temp_indoor_sm2_01,temp_indoor_sm2_02,temp_indoor_sm2_03,temp_indoor_sm2_04,temp_indoor_sm2_05,temp_indoor_sm2_06,temp_indoor_sm2_07,temp_indoor_sm2_08,temp_indoor_sm2_09,temp_intake_sm2_01,temp_intake_sm2_02,temp_intake_sm2_03,temp_intake_sm2_04,temp_intake_sm2_05,temp_intake_sm2_06,temp_intake_sm2_07,temp_intake_sm2_08,temp_intake_sm2_09
2024-06-28 00:00:00+02:00,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.8,28.3,28.8,28.6,27.8,27.9,27.6,27.7,27.6,22.6,20.8,20.8,20.8,21.1,21.0,21.6,20.9,20.8
2024-06-28 01:00:00+02:00,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.8,28.3,28.8,28.6,27.8,27.9,27.6,27.7,27.6,22.6,20.8,20.8,20.8,21.1,21.0,21.6,20.9,20.8
2024-06-28 02:00:00+02:00,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.8,28.3,28.8,28.6,27.8,27.9,27.6,27.7,27.6,22.6,20.8,20.8,20.8,21.1,21.0,21.6,20.9,20.8
2024-06-28 03:00:00+02:00,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.8,28.3,28.8,28.6,27.8,27.9,27.6,27.7,27.6,22.6,20.8,20.8,20.8,21.1,21.0,21.6,20.9,20.8
2024-06-28 04:00:00+02:00,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.8,28.3,28.8,28.6,27.8,27.9,27.6,27.7,27.6,22.6,20.8,20.8,20.8,21.1,21.0,21.6,20.9,20.8
2024-06-28 05:00:00+02:00,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.8,28.3,28.8,28.6,27.8,27.9,27.6,27.7,27.6,22.6,20.8,20.8,20.8,21.1,21.0,21.6,20.9,20.8
2024-06-28 06:00:00+02:00,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.8,28.3,28.8,28.6,27.8,27.9,27.6,27.7,27.6,22.6,20.8,20.8,20.8,21.1,21.0,21.6,20.9,20.8
2024-06-28 07:00:00+02:00,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.8,28.3,28.8,28.6,27.8,27.9,27.6,27.7,27.6,22.6,20.8,20.8,20.8,21.1,21.0,21.6,20.9,20.8
2024-06-28 08:00:00+02:00,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.8,28.3,28.8,28.6,27.8,27.9,27.6,27.7,27.6,22.6,20.8,20.8,20.8,21.1,21.0,21.6,20.9,20.8
2024-06-28 09:00:00+02:00,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.8,28.3,28.8,28.6,27.8,27.9,27.6,27.7,27.6,22.6,20.8,20.8,20.8,21.1,21.0,21.6,20.9,20.8
2024-06-28 10:00:00+02:00,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,28.8,28.3,28.8,28.6,27.8,27.9,27.6,27.7,27.6,22.6,20.8,20.8,20.8,21.1,21.0,21.6,20.9,20.8
2024-06-28 11:00:00+02:00,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,28.3,27.9,28.2,28.2,27.4,27.4,27.2,27.6,27.3,21.0,20.8,20.7,20.7,20.8,20.8,21.5,23.1,21.5
2024-06-28 12:00:00+02:00,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,28.9,28.2,28.5,28.6,27.8,27.8,27.5,28.0,27.7,23.9,22.6,22.8,22.8,22.8,22.6,23.4,26.1,24.7
2024-06-28 13:00:00+02:00,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,29.1,28.5,28.7,28.8,28.0,27.9,27.8,28.1,27.8,26.0,24.0,24.1,24.1,24.1,24.5,24.4,26.3,25.7
2024-06-28 14:00:00+02:00,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,29.3,28.7,28.8,29.0,28.1,28.1,28.0,28.2,28.0,27.0,25.3,25.3,25.4,25.3,25.5,25.5,27.0,26.5
2024-06-28 15:00:00+02:00,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,29.4,28.8,29.0,29.1,28.4,28.5,28.1,28.3,28.3,28.6,27.1,26.8,27.0,27.1,27.0,27.4,29.8,29.9
2024-06-28 16:00:00+02:00,29.5,29.5,29.5,29.5,29.5,29.5,29.4,29.4,29.4,29.3,29.2,29.1,29.3,28.6,28.8,28.4,28.4,28.3,29.9,29.1,28.0,28.1,28.0,27.5,28.2,29.5,30.1
2024-06-28 17:00:00+02:00,30.0,30.0,30.0,30.0,30.0,30.0,30.1,30.1,30.1,29.5,29.2,29.1,29.3,28.5,28.7,28.4,28.4,28.2,29.6,27.6,27.7,27.7,27.8,27.6,27.6,28.2,27.8
2024-06-28 18:00:00+02:00,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,29.4,29.2,29.1,29.1,28.0,28.5,28.3,28.3,28.1,28.9,26.5,26.6,26.7,26.6,26.4,26.4,26.8,26.6
2024-06-28 19:00:00+02:00,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,29.5,29.1,29.0,29.1,28.1,28.3,28.2,28.3,28.0,28.7,27.1,25.9,26.0,25.8,25.7,25.8,26.0,25.6
2024-06-28 20:00:00+02:00,28.7,28.7,28.7,28.7,28.7,28.7,28.8,28.8,28.8,29.7,29.2,29.1,29.2,28.2,28.3,28.3,28.4,28.1,29.0,27.0,26.6,26.7,26.5,26.4,26.3,26.6,26.1
2024-06-28 21:00:00+02:00,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.6,29.2,29.3,29.2,28.2,28.3,28.3,28.3,28.3,28.5,26.6,26.6,26.6,26.6,26.5,26.3,26.7,26.3
2024-06-28 22:00:00+02:00,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.5,29.2,29.3,29.3,28.3,28.4,28.4,28.5,28.3,28.1,27.0,27.4,27.5,27.0,26.6,26.7,26.8,26.3
2024-06-28 23:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 00:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 01:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 02:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 03:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 04:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 05:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 06:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 07:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 08:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 09:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 10:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 11:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 12:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 13:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 14:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 15:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 16:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 17:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 18:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 19:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 20:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
2024-06-29 21:00:00+02:00,28.8,28.8,28.8,28.8,28.8,28.8,28.9,28.9,28.9,29.5,29.2,29.3,29.3,28.2,28.4,28.4,28.5,28.3,27.6,26.8,27.2,27.3,27.0,26.7,26.7,26.8,26.6
