time,temp_ambient_sm2_01,temp_indoor_sm2_01,temp_indoor_sm2_02,temp_indoor_sm2_03,temp_indoor_sm2_04,temp_indoor_sm2_05,temp_indoor_sm2_06,temp_indoor_sm2_07,temp_indoor_sm2_08,temp_indoor_sm2_09,temp_intake_sm2_01,temp_intake_sm2_02,temp_intake_sm2_03,temp_intake_sm2_04,temp_intake_sm2_05,temp_intake_sm2_06,temp_intake_sm2_07,temp_intake_sm2_08,temp_intake_sm2_09
2025-07-21 00:00:00+02:00,28.0,27.7,28.0,28.0,27.8,27.5,27.7,27.3,26.9,27.3,27.6,27.1,27.6,27.6,26.8,26.8,28.4,28.3,27.9
2025-07-21 01:00:00+02:00,26.5,27.6,27.9,28.0,27.6,27.4,27.7,27.3,26.9,27.2,26.0,25.0,26.0,25.9,25.1,25.1,27.0,26.0,25.7
2025-07-21 02:00:00+02:00,25.5,27.5,27.8,27.8,27.5,27.1,27.5,27.2,26.8,27.0,24.4,25.1,25.5,25.5,25.2,24.5,25.5,24.8,23.8
2025-07-21 03:00:00+02:00,24.1,27.3,27.6,27.6,27.5,27.0,27.5,27.1,26.6,26.9,23.0,22.6,23.5,23.4,22.8,22.6,24.5,22.9,22.2
2025-07-21 04:00:00+02:00,23.1,27.2,27.6,27.5,27.4,27.0,27.3,27.0,26.5,26.8,22.3,22.1,22.5,22.5,22.1,21.7,23.8,22.1,21.6
2025-07-21 05:00:00+02:00,22.2,27.1,27.5,27.5,27.3,26.9,27.2,26.8,26.5,26.6,21.2,21.3,21.6,21.6,21.3,20.9,22.7,20.8,20.5
2025-07-21 06:00:00+02:00,21.3,27.0,27.5,27.3,27.2,26.8,27.1,26.8,26.4,26.5,20.8,20.4,20.8,20.8,20.6,19.9,22.0,20.4,20.2
2025-07-21 07:00:00+02:00,20.8,26.9,27.4,27.3,27.2,26.7,27.1,26.8,26.3,26.5,20.4,20.1,20.4,20.4,20.3,19.8,21.6,19.9,20.0
2025-07-21 08:00:00+02:00,21.0,26.8,27.3,27.3,27.1,26.7,27.1,26.8,26.3,26.5,20.5,20.3,20.5,20.5,20.4,20.1,21.3,20.1,20.0
2025-07-21 09:00:00+02:00,20.9,26.8,27.3,27.3,27.1,26.7,27.0,26.6,26.3,26.5,20.0,19.7,20.1,20.2,20.1,20.0,21.0,19.9,19.8
2025-07-21 10:00:00+02:00,21.8,26.8,27.5,27.3,27.2,26.8,27.1,26.7,26.3,26.5,21.0,21.5,21.4,21.4,21.3,21.1,22.0,21.1,20.8
2025-07-21 11:00:00+02:00,23.0,27.0,27.5,27.4,27.3,26.8,27.3,26.8,26.3,26.5,21.5,22.1,21.8,21.8,21.7,21.6,22.3,22.6,21.6
2025-07-21 12:00:00+02:00,25.1,27.2,27.6,27.5,27.5,27.0,27.4,27.0,26.6,26.7,23.3,24.6,23.2,23.3,23.1,23.2,23.6,24.2,23.8
2025-07-21 13:00:00+02:00,26.6,27.4,27.8,27.6,27.5,27.1,27.5,27.1,26.8,26.9,24.3,25.0,24.3,24.3,24.3,24.3,24.7,25.2,24.8
2025-07-21 14:00:00+02:00,27.1,27.5,27.8,27.8,27.7,27.3,27.6,27.3,26.8,27.0,24.5,25.3,25.1,25.1,25.0,25.0,25.4,25.3,25.0
2025-07-21 15:00:00+02:00,27.7,27.4,28.0,28.0,27.8,27.3,27.8,27.3,26.8,27.0,25.3,25.5,25.5,25.5,25.4,25.3,25.5,25.6,25.2
2025-07-21 16:00:00+02:00,29.8,27.5,28.1,28.0,28.0,27.5,27.9,27.5,27.1,27.1,27.5,29.1,26.5,26.5,26.5,26.5,26.6,27.8,28.5
2025-07-21 17:00:00+02:00,29.3,27.6,28.3,28.1,28.0,27.5,28.0,27.6,27.1,27.1,26.5,26.6,26.4,26.4,26.3,26.3,26.3,26.8,26.5
2025-07-21 18:00:00+02:00,28.3,27.6,28.2,28.1,28.1,27.8,28.1,27.7,27.1,27.3,25.9,26.4,25.6,25.6,25.5,25.6,25.9,25.8,25.6
2025-07-21 19:00:00+02:00,23.8,27.5,28.0,28.0,27.8,27.4,27.8,27.4,26.8,26.9,21.6,22.1,21.4,21.5,21.5,21.6,22.0,21.5,21.4
2025-07-21 20:00:00+02:00,20.6,27.3,27.8,27.8,27.6,27.1,27.5,27.1,26.5,26.7,18.8,18.8,18.8,18.8,19.0,19.1,19.6,18.6,18.5
2025-07-21 21:00:00+02:00,20.5,27.1,27.8,27.8,27.6,27.1,27.4,27.0,26.3,26.5,19.0,19.4,19.2,19.3,19.3,19.3,20.0,18.7,18.8
2025-07-21 22:00:00+02:00,20.4,27.2,27.7,27.6,27.5,27.1,27.3,27.0,26.4,26.5,18.8,19.2,19.0,19.1,19.1,19.1,19.6,18.6,18.5
2025-07-21 23:00:00+02:00,20.2,27.2,27.6,27.7,27.6,27.2,27.4,27.0,26.3,26.5,18.8,18.9,19.1,19.3,19.2,19.1,19.7,18.6,18.5
2025-07-22 00:00:00+02:00,19.6,27.2,27.4,27.6,27.6,27.1,27.4,27.0,26.3,26.5,18.5,18.5,19.0,19.0,19.0,18.8,19.6,18.3,18.3
2025-07-22 01:00:00+02:00,19.1,27.2,27.4,27.5,27.3,27.0,27.0,26.8,26.3,26.4,18.1,18.3,18.6,18.6,18.6,18.5,19.3,17.9,17.8
2025-07-22 02:00:00+02:00,18.6,27.1,27.3,27.5,27.2,26.8,27.0,26.7,26.1,26.3,18.0,18.3,18.6,18.6,18.5,18.3,19.1,17.7,17.5
2025-07-22 03:00:00+02:00,18.35,27.1,27.3,27.4,27.1,26.6,26.8,26.6,26.1,26.3,17.85,18.1,18.35,18.35,18.200000000000003,18.0,18.85,17.55,17.4
2025-07-22 04:00:00+02:00,17.15,27.0,27.25,27.3,27.0,26.45,26.8,26.6,26.0,26.25,16.85,17.0,17.1,17.1,17.05,16.9,18.15,16.55,16.700000000000003
2025-07-22 05:00:00+02:00,16.8,26.9,27.1,27.1,27.0,26.3,26.6,26.5,25.95,26.1,16.6,17.05,17.1,17.1,17.0,16.8,18.0,16.6,16.5
2025-07-22 06:00:00+02:00,17.1,26.85,27.1,27.1,26.9,26.3,26.6,26.45,25.9,26.1,17.15,17.4,17.6,17.6,17.55,17.3,18.3,16.8,16.85
2025-07-22 07:00:00+02:00,17.0,26.85,27.1,27.1,26.8,26.3,26.6,26.4,25.9,26.1,17.200000000000003,17.4,17.55,17.55,17.55,17.200000000000003,18.3,16.75,16.700000000000003
2025-07-22 08:00:00+02:00,16.35,26.8,27.0,27.0,26.8,26.2,26.5,26.4,25.9,26.0,16.35,16.65,16.7,16.75,16.6,16.35,17.75,16.15,16.200000000000003
2025-07-22 09:00:00+02:00,16.3,26.8,26.95,27.1,26.8,26.1,26.5,26.3,25.75,26.0,16.3,16.55,16.65,16.65,16.6,16.35,17.700000000000003,16.05,16.1
2025-07-22 10:00:00+02:00,17.5,26.95,27.0,27.2,26.85,26.25,26.55,26.4,25.8,26.0,17.4,17.75,17.700000000000003,17.700000000000003,17.55,17.35,18.4,17.1,17.15
2025-07-22 11:00:00+02:00,19.6,27.3,27.15,27.3,27.1,26.35,26.65,26.5,26.0,26.1,19.05,19.3,19.45,19.45,19.3,19.65,20.0,20.450000000000003,18.950000000000003
2025-07-22 12:00:00+02:00,21.6,27.5,27.3,27.45,27.1,26.35,26.8,26.6,26.35,26.3,20.15,20.6,20.5,20.55,20.45,20.9,21.3,23.5,22.200000000000003
2025-07-22 13:00:00+02:00,22.9,27.55,27.3,27.4,27.1,26.5,26.8,26.75,26.45,26.5,21.0,21.25,21.4,21.4,21.3,22.15,22.1,23.95,23.15
2025-07-22 14:00:00+02:00,24.0,27.65,27.55,27.65,27.55,26.75,27.1,26.8,26.45,26.5,23.55,22.15,22.1,22.2,22.1,22.85,22.8,23.1,22.75
2025-07-22 15:00:00+02:00,24.6,27.7,27.6,27.8,27.7,26.9,27.3,26.85,26.5,26.5,22.25,22.700000000000003,22.55,22.6,22.5,23.35,23.15,23.7,23.450000000000003
2025-07-22 16:00:00+02:00,25.3,27.65,27.6,27.8,27.65,27.05,27.3,26.9,26.45,26.5,22.65,23.4,22.85,22.9,22.75,23.5,23.4,23.6,23.4
2025-07-22 17:00:00+02:00,25.25,27.8,27.65,27.8,27.7,27.1,27.4,27.0,26.6,26.55,23.15,23.65,23.1,23.15,23.05,23.75,23.55,23.5,23.35
2025-07-22 18:00:00+02:00,26.15,27.8,27.65,27.9,27.8,27.1,27.5,27.05,26.5,26.6,23.4,23.95,23.45,23.45,23.4,24.35,23.700000000000003,23.95,23.5
2025-07-22 19:00:00+02:00,25.45,27.8,27.75,27.9,27.8,27.1,27.5,27.0,26.5,26.6,23.5,23.950000000000003,23.5,23.55,23.35,23.700000000000003,23.65,23.35,23.200000000000003
2025-07-22 20:00:00+02:00,25.35,27.8,27.7,27.9,27.8,27.1,27.5,27.1,26.5,26.6,23.1,23.35,23.35,23.35,23.25,24.0,23.6,23.3,23.05
2025-07-22 21:00:00+02:00,26.65,27.8,27.8,27.85,27.6,27.0,27.4,27.1,26.75,26.7,24.200000000000003,24.75,24.6,24.65,23.950000000000003,23.9,23.95,23.85,23.55
2025-07-22 22:00:00+02:00,24.9,27.75,27.7,27.9,27.6,27.05,27.4,27.15,26.7,26.7,23.05,23.1,23.75,23.75,23.3,23.1,23.35,22.8,22.55
2025-07-22 23:00:00+02:00,23.450000000000003,27.6,27.75,27.85,27.55,27.0,27.3,27.05,26.55,26.65,22.3,22.4,22.75,22.75,22.55,22.45,22.8,22.0,21.75
2025-07-23 00:00:00+02:00,22.3,27.5,27.6,27.9,27.5,26.9,27.15,27.0,26.4,26.6,21.65,21.8,21.95,22.0,21.95,21.700000000000003,22.35,21.15,20.95
2025-07-23 01:00:00+02:00,21.05,27.5,27.55,27.6,27.25,26.8,27.1,26.8,26.3,26.45,20.6,20.5,20.8,20.75,20.75,20.450000000000003,21.450000000000003,20.1,20.0
2025-07-23 02:00:00+02:00,19.65,27.35,27.45,27.55,27.05,26.6,26.95,26.8,26.15,26.35,19.25,19.35,19.6,19.6,19.5,19.1,20.25,19.0,18.75
2025-07-23 03:00:00+02:00,19.0,27.2,27.35,27.3,26.8,26.5,26.8,26.6,26.0,26.25,18.6,18.85,19.0,19.0,18.8,18.65,19.6,18.45,18.3
2025-07-23 04:00:00+02:00,18.8,27.1,27.2,27.3,26.8,26.3,26.7,26.6,26.0,26.3,18.6,18.9,19.1,19.15,18.95,18.65,19.6,18.45,18.45
2025-07-23 05:00:00+02:00,19.5,27.1,27.1,27.2,26.7,26.3,26.6,26.6,26.0,26.3,18.85,19.1,19.200000000000003,19.25,19.15,18.95,19.7,18.7,18.6
2025-07-23 06:00:00+02:00,19.5,27.0,27.1,27.1,26.7,26.15,26.5,26.5,26.0,26.2,18.75,19.05,19.1,19.1,19.1,18.9,19.6,18.6,18.5
2025-07-23 07:00:00+02:00,19.0,27.0,27.2,27.1,26.7,26.2,26.5,26.5,25.9,26.1,18.5,18.7,18.9,18.9,18.8,18.6,19.3,18.3,18.3
