location,tmin,tmean,tmax,hours,h_gt27,pct_gt27
1NP-S1,27.083333333333314,27.2,27.29999999999997,72,72.0,100.0
1NP-S2,26.91500000000001,27.2,27.33166666666664,72,65.0,90.0
1NP-S3,28.001666666666665,28.1,28.29999999999997,72,72.0,100.0
1NP-S4,26.066666666666688,26.8,27.309999999999988,72,24.0,33.0
1NP-S5,22.238333333333323,23.4,24.29999999999997,72,,
1NP-S6,27.099999999999977,27.5,27.79999999999997,72,72.0,100.0
1NP-S7,26.79666666666664,27.0,27.099999999999977,72,41.0,57.0
1NP-S8,22.09999999999999,24.1,25.79999999999997,72,,
1NP-S9,24.87666666666666,26.2,27.460000000000026,72,13.0,18.0
5NP-S1,27.900000000000027,27.9,28.099999999999973,72,72.0,100.0
5NP-S2,25.11166666666669,26.0,27.56,72,10.0,14.0
5NP-S3,23.79999999999997,25.9,28.524999999999977,72,20.0,28.0
5NP-S4,23.52,25.6,26.69,72,,
5NP-S5,25.5,26.0,27.73,57,1.0,2.0
5NP-S6,27.400000000000023,27.6,27.79999999999997,72,72.0,100.0
5NP-S7,27.90666666666669,28.1,28.30166666666664,72,72.0,100.0
5NP-S8,25.928333333333327,26.6,27.200000000000028,72,9.0,12.0
5NP-S9,27.5,27.8,28.098333333333308,72,72.0,100.0
