Date;KOT3/Teplota venkovní (°C);KOT3/VZT 09 | Obj. 9/vzt09_temp-tea-sani (°C);KOT3/VZT 09 | Obj. 9/vzt09_temp-teb-odvod (°C);KOT3/VZT 09 | Obj. 9/vzt09_temp-tu1-privod (°C);KOT3/VZT 09 | Obj. 9/vzt09_temp-tu2-vyfuk (°C);
30.11.2023 12:00:00;4,00;2,90;17,10;30,70;7,30;
30.11.2023 13:00:00;4,50;3,80;17,50;20,30;8,00;
30.11.2023 14:00:00;4,40;4,00;17,50;20,50;8,40;
30.11.2023 15:00:00;4,30;3,90;17,50;20,50;8,40;
30.11.2023 16:00:00;3,50;3,30;17,50;21,50;7,70;
30.11.2023 17:00:00;3,10;3,00;17,50;21,50;7,40;
30.11.2023 18:00:00;2,70;2,60;17,50;21,50;7,10;
30.11.2023 19:00:00;2,20;2,30;17,40;19,80;6,80;
30.11.2023 20:00:00;2,00;1,90;17,40;20,70;6,60;
30.11.2023 21:00:00;1,60;1,60;17,50;20,20;6,30;
30.11.2023 22:00:00;1,50;1,50;17,50;19,90;6,30;
30.11.2023 23:00:00;1,40;1,30;17,60;24,90;6,20;
01.12.2023 00:00:00;1,00;1,10;17,50;24,60;6,10;
01.12.2023 01:00:00;0,50;1,00;17,40;19,50;6,00;
01.12.2023 02:00:00;0,70;0,60;17,30;26,10;5,70;
01.12.2023 03:00:00;0,80;0,60;17,40;24,80;5,70;
01.12.2023 04:00:00;1,00;0,60;17,30;21,40;5,60;
01.12.2023 05:00:00;0,80;0,50;17,50;20,80;5,60;
01.12.2023 06:00:00;1,00;0,80;17,60;27,20;5,80;
01.12.2023 07:00:00;1,20;0,60;17,70;25,10;5,80;
01.12.2023 08:00:00;1,40;0,80;17,70;26,20;5,90;
01.12.2023 09:00:00;1,50;1,20;17,80;25,10;6,20;
01.12.2023 10:00:00;2,80;1,00;17,70;22,10;6,30;
01.12.2023 11:00:00;2,00;0,80;17,40;18,70;5,80;
01.12.2023 12:00:00;1,40;0,60;17,30;19,30;5,60;
01.12.2023 13:00:00;1,50;0,60;17,20;19,50;5,60;
01.12.2023 14:00:00;1,30;0,60;17,10;18,60;5,50;
01.12.2023 15:00:00;1,20;0,70;17,00;18,10;5,30;
01.12.2023 16:00:00;0,90;0,30;16,80;17,60;5,20;
01.12.2023 17:00:00;0,80;0,40;16,80;25,00;5,40;
01.12.2023 18:00:00;1,00;0,50;17,60;28,40;5,70;
01.12.2023 19:00:00;0,90;0,50;17,70;19,40;5,60;
01.12.2023 20:00:00;1,10;0,60;17,60;19,80;5,80;
01.12.2023 21:00:00;1,10;0,70;17,70;21,70;5,70;
01.12.2023 22:00:00;1,10;0,60;17,80;24,50;5,80;
01.12.2023 23:00:00;0,90;0,60;17,70;19,70;5,60;
02.12.2023 00:00:00;0,80;0,50;17,60;23,40;5,60;
02.12.2023 01:00:00;0,80;0,30;17,50;21,70;5,50;
02.12.2023 02:00:00;0,70;0,50;17,50;24,00;5,50;
