sensor,location
493D,SM2_01_L1_01
CCEA,SM2_02_L1_01
4427,SM2_03_L1_01
B020,SM2_04_L1_01
2AE9,SM2_05_L1_01
E5E3,SM2_06_L1_01
D663,SM2_07_L1_01
23A9,SM2_08_L1_01
A7A9,SM2_09_L1_01
DCOC,SM2_01_L5/L6_01
910A,SM2_02_L5/L6_01
4B73,SM2_03_L5/L6_01
9E31,SM2_04_L5/L6_01
CAF4,SM2_05_L5/L6_01
990A,SM2_06_L5/L6_01
B54D,SM2_07_L5/L6_01
90A9,SM2_08_L5/L6_01
3CFB,SM2_09_L5/L6_01
C6CB,SM2_01_B1_01
072B,SM2_05_B1_01
050D,SM2_09_B1_01
F30E,SM2_01_B2_01
CC2F,SM2_05_B2_01
1EF1,SM2_09_B2_01
750E,SM2_05_B3_01
F3F5,SM2_07_B3_01
8370,SM2_09_B3_01
